,0
0,BlackRock
1,Discover Financial Services
2,Berkshire Hathaway
3,CBS
4,Nike
5,Goldman Sachs Group
6,Principal Financial
7,MetLife
8,XPO Logistics
9,Colgate-Palmolive
10,Land O'Lakes
11,Humana
12,D.R. Horton
13,Tenet Healthcare
14,CenturyLink
15,Amazon.com
16,Procter & Gamble
17,World Fuel Services
18,Hewlett Packard Enterprise
19,CarMax
20,Supervalu
21,Centene
22,International Paper
23,Murphy USA
24,Jacobs Engineering Group
25,Visa
26,United States Steel
27,Stryker
28,Oracle
29,Marsh & McLennan
30,Estee Lauder
31,ConocoPhillips
32,FedEx
33,IBM
34,WestRock
35,LKQ
36,Nordstrom
37,Broadcom
38,Bank of America
39,Western Digital
40,JPMorgan Chase
41,3M
42,Energy Transfer
43,Tesla
44,HollyFrontier
45,Kimberly-Clark
46,Becton Dickinson
47,Microsoft
48,General Mills
49,Boeing
50,Charter Communications
51,Johnson & Johnson
52,L Brands
53,Texas Instruments
54,Tyson Foods
55,Eli Lilly
56,Cisco Systems
57,Target
58,Cigna
59,Chevron
60,Molina Healthcare
61,BJ's Wholesale Club
62,WellCare Health Plans
63,Deere
64,Global Partners
65,AutoNation
66,Walgreens Boots Alliance
67,TIAA
68,Dollar General
69,Verizon Communications
70,C.H. Robinson Worldwide
71,Micron Technology
72,United Parcel Service
73,Ecolab
74,Enterprise Products Partners
75,CHS
76,Plains GP Holdings
77,Aramark
78,United Technologies
79,Guardian Life Ins. Co. of America
80,Freddie Mac
81,CSX
82,Valero Energy
83,Twenty-First Century Fox
84,PG&E
85,American Express
86,Marathon Petroleum
87,Tech Data
88,Travelers
89,CVS Health
90,Bank of New York Mellon
91,Tenneco
92,Community Health Systems
93,Core-Mark Holding
94,AT&T
95,United Continental Holdings
96,BB&T Corp.
97,AmerisourceBergen
98,Edison International
99,Nvidia
100,Kinder Morgan
101,Progressive
102,Bristol-Myers Squibb
103,HCA Healthcare
104,DISH Network
105,ADP
106,Raytheon
107,Abbott Laboratories
108,Dell Technologies
109,Avnet
110,Las Vegas Sands
111,Ameriprise Financial
112,CDW
113,Whirlpool
114,ManpowerGroup
115,Comcast
116,PBF Energy
117,Occidental Petroleum
118,Kroger
119,Phillips 66
120,Stanley Black & Decker
121,Henry Schein
122,INTL FCStone
123,Citigroup
124,Bed Bath & Beyond
125,AIG
126,FirstEnergy
127,Delta Air Lines
128,Marriott International
129,DXC Technology
130,MGM Resorts International
131,Hartford Financial Services
132,Prudential Financial
133,DuPont de Nemours
134,Synnex
135,Union Pacific
136,PepsiCo
137,PayPal Holdings
138,Cognizant Technology Solutions
139,Morgan Stanley
140,Starbucks
141,Aflac
142,Biogen
143,Ross Stores
144,VF
145,General Dynamics
146,Rite Aid
147,USAA
148,Lear
149,General Motors
150,Honeywell International
151,Halliburton
152,Paccar
153,Mastercard
154,Dollar Tree
155,PNC Financial Services
156,New York Life Insurance
157,US Foods Holding
158,Sempra Energy
159,Anadarko Petroleum
160,Lithia Motors
161,Northrop Grumman
162,Omnicom Group
163,Performance Food Group
164,Best Buy
165,Consolidated Edison
166,Waste Management
167,Jones Lang LaSalle
168,Liberty Mutual Insurance Group
169,Fluor
170,Parker-Hannifin
171,Facebook
172,TJX
173,Penske Automotive Group
174,Albertsons
175,McDonald's
176,Applied Materials
177,Merck
178,UnitedHealth Group
179,NextEra Energy
180,American Electric Power
181,AECOM
182,Alcoa
183,Anthem
184,General Electric
185,Amgen
186,Newell Brands
187,Allstate
188,Ford Motor
189,Massachusetts Mutual Life Insurance
190,Thermo Fisher Scientific
191,Exelon
192,Celgene
193,Jabil
194,Qualcomm
195,Nucor
196,EOG Resources
197,Home Depot
198,Arconic
199,Synchrony Financial
200,Cardinal Health
201,DTE Energy
202,State Street Corp.
203,CBRE Group
204,Macy's
205,Netflix
206,Apple
207,Altria Group
208,Publix Super Markets
209,Illinois Tool Works
210,PPG Industries
211,Gilead Sciences
212,Genuine Parts
213,AbbVie
214,Costco Wholesale
215,U.S. Bancorp
216,Pfizer
217,Southern
218,Sysco
219,Emerson Electric
220,Lincoln National
221,Philip Morris International
222,Textron
223,Cummins
224,Walt Disney
225,salesforce.com
226,Walmart
227,Gap
228,Alphabet
229,Archer Daniels Midland
230,Nationwide
231,Exxon Mobil
232,State Farm Insurance
233,Lennar
234,Oneok
235,Northwestern Mutual
236,Freeport-McMoRan
237,Loews
238,Goodyear Tire & Rubber
239,Fannie Mae
240,Duke Energy
241,Southwest Airlines
242,Caterpillar
243,Steel Dynamics
244,NGL Energy Partners
245,Danaher
246,Dominion Energy
247,Lockheed Martin
248,Capital One Financial
249,Qurate Retail
250,Viacom
251,Mondelez International
252,Kraft Heinz
253,HP
254,McKesson
255,Sherwin-Williams
256,Arrow Electronics
257,American Airlines Group
258,J.C. Penney
259,Reinsurance Group of America
260,Wells Fargo
261,Kellogg
262,Booking Holdings
263,Intel
264,Coca-Cola
